Date of Bleed,Tag trimmed,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0
6/5/15,17339,4/30/15,4.84,0.29,4.02,0.44,,6.34,9.6,31.8,50.1,15.1,30.2,21.2,357,4.4,no note
6/5/15,17344,5/4/15,8.94,0.39,7.93,0.62,,7.81,11.5,37.4,47.9,14.7,30.7,21.5,725,3.8,no note
6/5/15,17345,5/4/15,8.68,0.8,7.21,0.67,,7.88,11.6,41.1,52.1,14.7,28.2,18.6,767,3.8,no note
6/5/15,17346,5/4/15,8.68,0.53,7.72,0.42,,7.9,11,39.3,49.7,13.9,28,22.5,821,4.3,no note
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
6/11/15,17202-0-TX1,-,12.84,2.8,9.43,0.52,,11.64,15.9,47.8,41.1,13.7,33.3,19.5,822,4.7,Transplant Recipients
6/11/15,17203-0-TX1,-,4.98,0.89,3.7,0.24,,8.36,11.8,34.7,41.5,14.1,34,19,377,5.8,Transplant Recipients
6/11/15,17204-0-TX1,-,11.46,2.04,9.07,0.33,,11.75,16.3,49.3,42,13.9,33.1,19.8,956,5.1,Transplant Recipients
6/11/15,17205-0-TX1,-,11.06,2.44,8.33,0.27,,12.86,17.3,54.5,42.4,13.5,31.7,20.4,952,4.8,Transplant Recipients
6/11/15,17206-0-TX1,-,18.92,4.85,13.56,0.39,,13.04,17.9,55.9,42.9,13.7,32,20.4,745,5.1,Transplant Recipients
6/11/15,17207-0-TX1,-,12.76,2.3,9.83,0.46,,11.57,15.9,48.7,42.1,13.7,32.6,19,872,5.1,Transplant Recipients
6/11/15,17208-0-TX1,-,11.58,2.65,8.51,0.4,,12.14,16,51.7,42.6,13.2,30.9,19.3,1258,4.8,Transplant Recipients
6/11/15,17209-0-TX1,-,13.38,3.22,9.89,0.26,,12.36,17.1,52.5,42.5,13.8,32.6,18.7,1087,4.7,Transplant Recipients
6/11/15,17210-0-TX1,-,11.92,2.17,9.12,0.44,,11.57,15.9,49.8,43,13.7,31.9,19.1,815,5.2,Transplant Recipients
6/11/15,17211-0-TX1,-,9.92,2.18,7.19,0.29,,9.82,14.1,43.2,44,14.4,32.6,19.3,516,5.3,Transplant Recipients
6/11/15,17212-0-TX1,-,11.36,3.18,7.83,0.32,,10.68,14.7,46,43.1,13.8,32,18.7,1047,4.9,Transplant Recipients
6/11/15,17213-0-TX1,-,11.56,1.84,9.44,0.24,,11.43,15.7,47.5,41.6,13.7,33.1,18.2,1280,5.1,Transplant Recipients
6/11/15,17214-0-TX1,-,14,2.61,10.93,0.45,,11.75,16.4,48.9,41.6,14,33.5,17.8,981,4.7,Transplant Recipients
6/11/15,17215-0-TX1,-,11.52,2.48,8.17,0.51,,10.63,15.1,45.2,42.5,14.2,33.4,19.8,847,5.4, 8 week bleed
6/11/15,17216-0-TX1,-,10.4,1.85,8.04,0.38,,11.97,15.5,50.4,42.1,12.9,30.8,19,1049,5.2, 8 week bleed
6/11/15,17217-0-TX1,-,9.2,2.2,6.61,0.3,,10.05,14.9,44.9,44.7,14.8,33.2,22.5,548,5.5, 8 week bleed
6/11/15,17218-0-TX1,-,17.68,3.85,13.42,0.36,,11.74,15.9,49.9,42.5,13.5,31.9,18.9,949,4.5, 8 week bleed
6/11/15,17219-0-TX1,-,20.54,3.19,16.84,0.45,,11.72,15.6,50.6,43.2,13.3,30.8,19.5,888,5.1, 8 week bleed
6/11/15,17220-0-TX1,-,8.56,1.2,6.67,0.55,,7.44,10.7,31,41.7,14.4,34.5,17.4,1207,5.4, 8 week bleed
6/11/15,17221-0-TX1,-,16.96,3.35,13.06,0.49,,13.11,17.5,53.4,40.7,13.3,32.8,18.5,1222,4.5, 8 week bleed
6/11/15,17222-0-TX1,-,11,1.76,8.74,0.27,,10.29,14.4,42.1,40.9,14,34.2,18.1,837,5.1, 8 week bleed
6/11/15,17223-0-TX1,-,13.92,2.6,11.07,0.24,,12.45,16.2,48.9,39.3,13,33.1,19.2,1585,4.5, 8 week bleed
6/11/15,17224-0-TX1,-,17.4,3.38,13.66,0.31,,12.49,16.3,52.6,42.1,13.1,31,19.4,1203,4.5, 8 week bleed
6/11/15,17225-0-TX1,-,9.78,1.81,7.77,0.19,,11.82,15.6,50.2,42.5,13.2,31.1,20,886,4.8, 8 week bleed
6/11/15,17226-0-TX1,-,11.28,2.71,8.06,0.44,,13.62,18.5,55.6,40.8,13.6,33.3,20,1350,4.7, 8 week bleed
6/11/15,17227-0-TX1,-,14.62,2.56,11.71,0.27,,11.98,16.3,50,41.7,13.6,32.6,18.6,1476,4.6, 8 week bleed
6/11/15,Control,-,10.48,1.63,8.5,0.33,,12.66,16.5,52.5,41.5,13,31.4,18.6,1449,4.3, 8 week bleed
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
6/16/15,17348,5/17/15,9.74,2.4,6.99,0.3,,10.09,15.2,49.7,49.3,15.1,30.6,21.5,1021,4.5,no note
6/16/15,17349,5/17/15,12.18,2.23,9.43,0.46,,10.59,15.3,50.6,47.8,14.4,30.2,18.9,1031,4.4,no note
6/16/15,17350,5/17/15,9.28,1.81,6.81,0.59,,11.03,15.7,50.8,46.1,14.2,30.9,18.3,994,4.4,no note
6/16/15,17351,5/17/15,7.64,1.22,5.7,0.41,,9.55,14.3,45.8,48,15,31.2,18.4,811,5.1,no note
6/16/15,17352,5/17/15,6,1.46,4.36,0.18,,9.72,14.6,46,47.3,15,31.7,17.8,1064,4.4,no note
6/16/15,17353,5/17/15,6.74,1.82,4.65,0.25,,10.19,15.3,49.4,48.5,15,31,19.5,1058,4.2,no note
6/16/15,17354,5/17/15,7.96,2.01,5.43,0.5,,10,15.4,51.7,51.7,15.4,29.8,24.1,1027,4.1,no note
6/16/15,17355,5/17/15,8.3,2.03,5.96,0.28,,10.34,15.1,49.7,48.1,14.6,30.4,19.6,934,4.2,no note
6/16/15,17356,5/15/15,10.6,2.41,7.75,0.38,,9.58,15.2,50.9,53.1,15.9,29.9,20.8,1093,4.8,no note
6/16/15,17357,5/15/15,10.62,2.23,7.82,0.52,,9.68,15.5,55.8,57.6,16,27.8,23.6,982,4.3,no note
6/16/15,17358,5/15/15,10.1,3.71,5.99,0.37,,7.49,13.7,48.1,64.2,18.3,28.5,29.3,950,5.3,no note
6/16/15,17359,5/15/15,1.74,0.5,1,0.18,,16.15,7.3,,63,4.5,7.2,28,3517,5.9,no note
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
6/30/15,16162,11/5/14,11.26,3.65,6.96,0.61,,9.05,14.7,44.7,49.4,16.2,32.9,23.3,1237,5.1,no note
6/30/15,16192,11/15/14,8.7,1.72,6.63,0.34,,10.2,13.9,42.6,41.8,13.6,32.6,19.2,981,4.3,no note
6/30/15,16667,1/24/15,9.08,2.07,6.61,0.29,,9.02,13.2,38.3,42.5,14.6,34.5,17.5,585,5.4,no note
6/30/15,16669,1/24/15,6.14,1.57,4.27,0.28,,10.2,14.3,42.3,41.5,14,33.8,18,997,4.4,no note
6/30/15,16993,3/10/15,8.92,1.98,6.75,0.13,,9.17,13.1,39.5,43.1,14.3,33.2,18.1,834,4.7,no note
6/30/15,17124,3/28/15,8.38,2.32,5.57,0.23,,8.95,12.5,37.4,41.8,14,33.4,18.8,601,5.3,no note
6/30/15,17125,3/28/15,9.64,1.53,7.83,0.24,,8.96,13.1,38.1,42.5,14.6,34.4,17.5,852,4.5,no note
6/30/15,17126,3/28/15,17.72,3.83,13.38,0.46,,9.44,14.1,39.9,42.3,14.9,35.3,18.5,812,4,no note
6/30/15,17146,4/8/15,11.96,2.67,8.87,0.36,,10,14.1,40.5,40.5,14.1,34.8,17.3,922,4.3,no note
6/30/15,17306,4/28/15,12.26,2.4,9.46,0.38,,8.88,13.2,38.7,43.6,14.9,34.1,17.4,808,4.2,no note
6/30/15,17314,4/28/15,8.02,1.61,6.1,0.28,,9.84,13.9,42.1,42.8,14.1,33,17.9,833,4.5,no note
6/30/15,17348,5/17/15,7.84,1.52,6.12,0.16,,8.02,11.9,35.7,44.5,14.8,33.3,19.9,522,4.7,no note
6/30/15,17349,5/17/15,11.64,1.62,9.6,0.4,,10.32,15.2,47.3,45.8,14.7,32.1,17.9,781,3.8,no note
6/30/15,17350,5/17/15,13.24,2.39,10.15,0.68,,9.95,14.5,43,43.2,14.6,33.7,17.2,833,3.7,no note
6/30/15,17351,5/17/15,12.4,1.71,10.19,0.48,,10.19,14.6,44.8,44,14.3,32.6,17.3,855,3.6,no note
6/30/15,17352,5/17/15,11.84,2.05,9.23,0.56,,10.36,15.4,47.7,46,14.9,32.3,17.9,1040,4.1,no note
6/30/15,17353,5/17/15,14.14,2.2,11.38,0.54,,9.32,14.4,43.8,47,15.5,32.9,18.3,869,4.2,no note
6/30/15,17354,5/17/15,12.54,2.04,9.86,0.64,,9.74,14.1,45.9,47.1,14.5,30.7,19.7,839,3.8,no note
6/30/15,17355,5/17/15,13.12,2.11,10.39,0.61,,9.8,14.7,44.9,45.8,15,32.7,18.4,951,4,no note
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
7/1/15,16554*,-,0.26,,,,,0.02,0,,,,,,17,,Error in CBC reading 
7/1/15,16549-1-TX0,-,7.3,2,5.1,0.13,,9.31,12.1,37.6,40.4,13,32.2,20.5,577,5.2,no note
7/1/15,16550-1-TX0,-,17.52,4.81,12.11,0.57,,12.16,17.4,49,40.3,14.3,35.5,20.3,924,5,no note
7/1/15,16557-1-TX0,-,12.26,4.15,7.72,0.22,,9.4,14.1,39.9,42.4,15,35.3,19.4,789,5.2,no note
7/1/15,16558-1-TX0,-,9.94,2.19,7.46,0.15,,7.8,11.4,31.4,40.2,14.6,36.3,19.1,462,5.2,no note
7/1/15,16559-1-TX0,-,14.44,3.61,10.5,0.29,,11.31,15.7,47.3,41.8,13.9,33.2,20.8,840,4.8,no note
7/1/15,16562-1-TX0,-,12.72,3.8,8.5,0.38,,7.88,13.2,31.4,39.9,16.8,42,18.8,779,5,no note
7/1/15,16563-1-TX0,-,14.94,4.2,10.4,0.14,,8.8,12.6,37.2,42.3,14.3,33.9,22.2,590,5.3,no note
7/1/15,16566-1-TX0,-,12.1,5.83,5.83,0.23,,10.78,13.9,44.3,41.1,12.9,31.4,23.2,1096,5.2,no note
7/1/15,16567-1-TX0,-,18.42,5.53,12.1,0.52,,11.31,15.8,47.2,41.7,14,33.5,19.8,613,5.3,no note
7/1/15,17175,4/10/15,16.92,5.77,10.37,0.51,,10.91,16,46.4,42.5,14.7,34.5,18.9,1103,4.7,no note
7/1/15,17246,4/18/15,13.58,3.52,9.54,0.42,,10.67,16.4,59,55.3,15.4,27.8,21.2,796,4.8,no note
7/1/15,17280,5/5/15,12.92,3.54,8.75,0.6,,11.32,17,51.4,45.4,15,33.1,22.7,510,4.8,no note
7/1/15,17339,4/30/15,8.08,1.51,6.15,0.4,,10.26,15.6,50.8,49.5,15.2,30.7,18.7,744,4.3,no note
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
7/13/15,16960,3/2/15,10.74,2.84,7.08,0.53,,9.29,14.1,43.2,46.5,15.2,32.6,21.6,1019,5,no note
7/13/15,16963,3/2/15,8.1,1.67,5.99,0.39,,8.29,12,35.9,43.3,14.5,33.4,17.6,1278,5.1,no note
7/13/15,17015,3/5/15,8.88,1.53,6.94,0.36,,9.69,14.3,40,41.3,14.8,35.8,19,924,4.5,no note
7/13/15,17176,4/12/15,8.48,2.01,6.07,0.32,,8.99,12.6,38.7,43,14,32.6,17.7,700,4.9,no note
7/13/15,17283,5/5/15,10.7,1.75,8.41,0.53,,9.86,14.3,41.9,42.5,14.5,34.1,17.6,1066,4.2,no note
7/13/15,17286,5/4/15,10.22,1.91,7.91,0.39,,9.84,14.8,45.5,46.2,15,32.5,17.4,816,4.3,no note
7/13/15,17291,5/6/15,7.28,1.3,5.53,0.42,,9.28,13.4,40.9,44.1,14.4,32.8,17.3,890,4.5,no note
7/13/15,17344,5/4/15,10.88,2.82,7.48,0.55,,10.43,14.8,47.2,45.3,14.2,31.4,19.8,1003,4.1,no note
7/13/15,17345,5/4/15,9.5,1.39,7.77,0.31,,10.67,14.9,50.3,47.1,14,29.6,16.6,1144,4.5,no note
7/13/15,17346,5/4/15,9.3,1.99,6.91,0.28,,9.82,13.9,43.3,44.1,14.2,32.1,17.3,850,4.3,no note
7/13/15,17363,5/13/15,10.1,1.43,8.28,0.38,,9.59,14.4,46.1,48.1,15,31.2,18.4,869,4.3,no note
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
7/16/15,16800,1/26/15,8.76,2.35,5.87,0.43,,13.73,19.6,58.2,42.4,14.3,33.7,19.1,1505,5,no note
7/16/15,16802,1/26/15,11.76,2.84,8.1,0.47,,12.41,18.3,51.3,41.3,14.7,35.7,19.4,986,5.4,no note
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
7/18/15,16798,1/26/15,4.14,0.79,2.91,0.35,,5.43,7.8,21.9,40.4,14.4,35.6,16.8,356,5.5,no note
7/18/15,16895,2/19/15,10.18,2.81,7.05,0.28,,9.7,13.1,39.5,40.7,13.5,33.2,18.3,664,4.3,no note
7/18/15,16896,2/19/15,2.04,0.49,1.39,0.1,,5.73,8.7,28.7,50.1,15.2,30.3,21.7,303,4.9,no note
7/18/15,16988,3/8/15,10.72,2.42,7.95,0.23,,8.48,12.3,38,44.8,14.5,32.4,19.8,644,4.4,no note
7/18/15,17038,3/14/15,9.48,2.29,6.86,0.3,,9.9,13.8,46.9,47.4,13.9,29.4,21.3,890,4.2,no note
7/18/15,17087,3/16/15,1.22,0.38,0.7,0.11,,3.58,5.6,21.2,59.3,15.6,26.4,28.7,171,7.4,no note
7/18/15,17090,3/16/15,4.54,1.03,3.19,0.3,,9.99,8.6,46.3,46.3,8.6,18.6,19.1,889,5.3,no note
7/18/15,17139,4/3/15,8.86,2.06,6.45,0.2,,9.09,12.9,38.6,42.5,14.2,33.4,19.4,901,4.4,no note
7/18/15,17270,5/3/15,8.54,1.48,6.75,0.24,,9.15,13.3,44.3,48.4,14.5,30,18.4,687,4.3,no note
7/18/15,17301,5/7/15,1.38,0.48,0.82,0.08,,6.24,11.3,36.4,58.4,18.1,31,20,204,5.2,no note
7/18/15,17359,5/15/15,1.54,0.25,1.07,0.18,,4.73,7.6,29.6,62.6,16.1,25.7,20.4,412,5.1,no note
Date of Bleed,out,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),no note
7/20/15,17348,5/17/15,1.54,0.06,1.38,0.07,,3.4,4.7,13.6,40,13.8,34.6,18.3,111,5.4,no note
7/20/15,17349,5/17/15,12.38,1.87,9.93,0.58,,9.88,14.6,44.4,44.9,14.8,32.9,19.6,1076,4.5,no note
7/20/15,17350,5/17/15,9.88,1.76,7.61,0.44,,8.97,12.8,35.9,40,14.3,35.7,18,637,4.7,no note
7/20/15,17351,5/17/15,11.04,2.45,7.98,0.51,,10.34,14.5,43.6,42.2,14,33.3,18.1,876,4.4,no note
7/20/15,17352,5/17/15,14.06,2.69,10.45,0.82,,9.99,15.1,43.2,43.2,15.1,35,18.1,1134,4.7,no note
7/20/15,17353,5/17/15,10.08,2.34,7.3,0.43,,10.33,15.6,49.5,47.9,15.1,31.5,21.5,752,4.5,no note
7/20/15,17354,5/17/15,7.24,1.12,5.73,0.26,,7.5,10.7,33.1,44.1,14.3,32.3,18.2,369,5.2,no note
7/20/15,17355,5/17/15,7.58,1.41,5.74,0.39,,9.82,14.7,44.3,45.1,15,33.2,19.2,581,4.9,no note
7/20/15,17458,6/3/15,11.28,1.87,8.93,0.38,,10.36,14.2,46.5,44.9,13.7,30.5,21.4,956,4.4,no note
7/20/15,17459,6/3/15,7.84,1.23,6.29,0.27,,8.92,12.8,40.1,45,14.3,31.9,18.7,796,4.5,no note
7/20/15,17461,6/3/15,7.66,1.24,6.14,0.26,,9.03,12.9,38.6,42.7,14.3,33.4,17.7,925,4.3,no note
7/20/15,17462,6/3/15,6,0.76,5.04,0.14,,7.72,10.4,37.8,49,13.5,27.5,20.5,399,4.9,no note
